TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
3,CUST1415,ACC49422,Credit,Deposit,Home Loan,Firm B,West,Manager 4,8/6/2024,42782.35491,26288.25743,0.475975375,377,11
130,CUST9129,ACC70314,Loan,Withdrawal,Credit Card,Firm E,North,Manager 1,17-06-2023,22368.60025,45934.66637,0.418228799,304,101
59,CUST5500,ACC45101,Current,Withdrawal,Credit Card,Firm E,West,Manager 3,14-04-2023,19179.48066,91334.87256,0.413373631,496,209
191,CUST4769,ACC24508,Credit,Transfer,Mutual Fund,Firm A,South,Manager 3,2/1/2023,38143.72284,97599.71847,-0.023594427,557,89
142,CUST9420,ACC24508,Credit,Payment,Mutual Fund,Firm D,West,Manager 1,20-06-2023,29225.68113,55543.4476,0.558829359,461,22
177,CUST1609,ACC88074,Credit,Transfer,Savings Account,Firm E,South,Manager 2,25-04-2024,14133.38401,58336.7639,0.855442973,554,116
171,CUST1644,ACC25811,Current,Payment,Credit Card,Firm C,Central,Manager 3,12/1/2024,50189.23333,13996.11951,-0.020743278,312,63
177,CUST4003,ACC30852,Loan,Payment,Credit Card,Firm E,South,Manager 1,17-07-2023,68209.7527,116972.0908,1.063895655,434,160
32,CUST8279,ACC62446,Loan,Withdrawal,Credit Card,Firm C,Central,Manager 1,26-03-2023,44837.07729,101775.2161,0.49883264,370,211
14,CUST4769,ACC34568,Loan,Withdrawal,Home Loan,Firm D,East,Manager 2,25-07-2023,57559.69967,70917.47494,0.383041452,428,181
114,CUST1962,ACC50817,Loan,Withdrawal,Credit Card,Firm D,South,Manager 3,24-05-2024,48524.43739,44669.00491,0.393132623,453,103
178,CUST1189,ACC50439,Savings,Deposit,Savings Account,Firm D,East,Manager 1,16-06-2024,-60979.07348,57916.06101,0.160987711,655,17
65,CUST2805,ACC65545,Credit,Transfer,Personal Loan,Firm B,North,Manager 2,13-02-2024,42525.62472,91348.52625,0.591298687,417,45
93,CUST8390,ACC99409,Loan,Payment,Home Loan,Firm E,South,Manager 2,16-10-2023,71890.72128,11630.00487,0.405547536,657,226
174,CUST2915,ACC25811,Current,Payment,Savings Account,Firm C,South,Manager 2,15-01-2023,73107.33839,72482.05316,0.71455308,751,216
42,CUST8765,ACC28295,Current,Deposit,Home Loan,Firm B,South,Manager 1,7/6/2024,-405.1526228,110327.9416,0.867588872,392,111
195,CUST1776,ACC51971,Credit,Transfer,Credit Card,Firm B,East,Manager 1,3/3/2023,41874.30318,21636.02652,0.336857004,698,238
156,CUST5610,ACC71938,Current,Withdrawal,Credit Card,Firm A,West,Manager 3,27-05-2024,83025.34324,48597.84086,0.880011659,403,143
184,CUST2357,ACC70314,Current,Deposit,Credit Card,Firm E,West,Manager 3,11/6/2024,26263.16371,63524.7874,0.444938217,442,144
6,CUST4855,ACC53865,Loan,Payment,Credit Card,Firm E,West,Manager 1,20-01-2024,49980.23329,105442.376,0.348201443,318,106
55,CUST8344,ACC33287,Credit,Withdrawal,Credit Card,Firm A,West,Manager 4,6/6/2023,41495.61915,183836.9338,0.397573986,710,7
4,CUST6319,ACC22036,Credit,Transfer,Mutual Fund,Firm C,West,Manager 1,21-04-2024,44417.98551,43740.32604,0.456135023,512,72
2,CUST1223,ACC30146,Savings,Payment,Personal Loan,Firm B,West,Manager 1,10/2/2023,42545.84843,95213.01069,0.365014306,786,14
26,CUST8279,ACC42467,Current,Withdrawal,Credit Card,Firm E,West,Manager 1,6/10/2023,52014.56995,125523.5787,0.542373825,439,102
101,CUST1569,ACC25811,Savings,Deposit,Savings Account,Firm A,North,Manager 3,20-11-2023,34220.28874,61183.88854,0.626806956,519,203
64,CUST1121,ACC95774,Savings,Payment,Mutual Fund,Firm E,East,Manager 2,25-11-2023,48329.69573,73060.9004,0.409928556,681,239
96,CUST1223,ACC58667,Credit,Payment,Home Loan,Firm D,North,Manager 4,30-01-2023,83531.57251,29666.76747,0.965695215,326,53
128,CUST4763,ACC52131,Credit,Transfer,Mutual Fund,Firm D,Central,Manager 3,13-02-2024,5420.735232,115828.4262,0.49741637,724,165
162,CUST8529,ACC21719,Loan,Payment,Home Loan,Firm E,South,Manager 1,22-06-2024,39052.64128,66730.05068,1.028083611,792,229
130,CUST3306,ACC38559,Credit,Payment,Credit Card,Firm E,East,Manager 4,26-02-2023,82390.38999,74142.51045,0.651417926,445,79
160,CUST1498,ACC19178,Loan,Payment,Personal Loan,Firm A,North,Manager 2,18-02-2024,50019.41761,106488.8941,0.522612991,365,202
15,CUST2626,ACC99117,Savings,Deposit,Home Loan,Firm B,Central,Manager 2,21-05-2023,108398.88,45976.42758,0.332425193,316,31
26,CUST4625,ACC67713,Current,Deposit,Mutual Fund,Firm A,South,Manager 2,10/1/2023,60816.42692,131231.6702,0.587758266,625,126
174,CUST4780,ACC21429,Credit,Deposit,Personal Loan,Firm A,North,Manager 4,15-04-2024,24250.49236,46371.3319,0.555295953,816,112
27,CUST5912,ACC28612,Credit,Withdrawal,Credit Card,Firm C,West,Manager 3,30-04-2023,83026.25877,62674.47063,0.376322639,703,136
113,CUST7651,ACC39161,Credit,Withdrawal,Mutual Fund,Firm D,North,Manager 1,30-04-2023,39275.29517,79762.12696,0.295581822,465,114
118,CUST3015,ACC77638,Loan,Transfer,Savings Account,Firm B,East,Manager 2,28-01-2023,17739.15438,28247.082,0.749102689,315,230
97,CUST9169,ACC86784,Credit,Deposit,Personal Loan,Firm C,South,Manager 4,24-10-2023,38575.28936,55142.70322,0.485369595,481,237
130,CUST7388,ACC81631,Current,Withdrawal,Mutual Fund,Firm A,North,Manager 2,18-06-2023,98620.49477,35356.89429,0.726769992,697,47
104,CUST2716,ACC51593,Savings,Withdrawal,Home Loan,Firm A,South,Manager 2,26-03-2023,75652.20273,143777.6874,0.260906068,763,124
148,CUST8279,ACC71426,Loan,Payment,Mutual Fund,Firm D,South,Manager 2,5/2/2023,67716.45905,99351.13522,0.390675192,325,103
103,CUST6350,ACC77773,Savings,Transfer,Savings Account,Firm A,Central,Manager 4,22-10-2023,21857.18738,66889.93517,0.283879033,759,169
21,CUST1569,ACC52650,Savings,Deposit,Home Loan,Firm B,Central,Manager 1,25-04-2024,7173.703028,81603.09656,0.48851466,356,202
30,CUST2942,ACC67713,Current,Deposit,Home Loan,Firm A,Central,Manager 3,16-04-2024,30635.17445,68878.29507,0.42850592,729,75
76,CUST2349,ACC61827,Credit,Payment,Home Loan,Firm B,South,Manager 2,27-05-2024,33306.53184,11724.51773,0.668770092,437,156
77,CUST2578,ACC64785,Credit,Transfer,Home Loan,Firm C,South,Manager 3,19-06-2023,42802.68233,85417.4402,0.545379035,612,109
165,CUST4769,ACC17688,Savings,Deposit,Mutual Fund,Firm E,North,Manager 1,3/4/2023,55026.36788,127167.2313,0.502158222,756,226
80,CUST1223,ACC51009,Credit,Payment,Mutual Fund,Firm D,East,Manager 1,30-03-2024,78691.7008,63415.24602,0.227338664,347,46
111,CUST1840,ACC34431,Loan,Deposit,Savings Account,Firm E,Central,Manager 3,11/4/2023,35708.44449,109817.9071,0.983961308,560,95
112,CUST1913,ACC57700,Savings,Deposit,Savings Account,Firm C,West,Manager 4,15-05-2024,73061.95398,90819.7791,0.525239569,714,137
131,CUST6330,ACC42710,Current,Deposit,Personal Loan,Firm B,North,Manager 4,1/4/2024,20819.59217,59216.75897,0.459007018,814,224
158,CUST5121,ACC22036,Credit,Deposit,Personal Loan,Firm B,West,Manager 1,10/12/2023,49334.60158,77510.04627,0.449614599,562,156
176,CUST9564,ACC29396,Savings,Transfer,Personal Loan,Firm C,South,Manager 3,9/4/2023,44278.1196,71569.35915,0.493160401,407,18
115,CUST9066,ACC83581,Credit,Deposit,Credit Card,Firm E,North,Manager 3,26-09-2023,106864.233,58141.5657,0.304070704,663,102
93,CUST5121,ACC51593,Loan,Transfer,Mutual Fund,Firm B,Central,Manager 1,29-11-2023,33045.16826,119274.8763,0.866197152,312,157
67,CUST6391,ACC26940,Current,Payment,Home Loan,Firm A,South,Manager 4,16-03-2023,-25964.94612,94822.29734,0.639771117,315,209
49,CUST8250,ACC77533,Credit,Transfer,Credit Card,Firm E,Central,Manager 2,22-05-2024,69245.74015,128457.1405,-0.333915292,737,153
108,CUST2699,ACC31539,Loan,Payment,Home Loan,Firm C,Central,Manager 4,18-11-2023,67374.47703,68883.17232,0.508873268,722,7
137,CUST8344,ACC97411,Current,Deposit,Credit Card,Firm B,East,Manager 1,6/7/2023,29251.62001,47476.85331,0.203530772,793,50
174,CUST8765,ACC47099,Loan,Transfer,Credit Card,Firm C,Central,Manager 4,20-11-2023,41973.02733,116791.6989,0.614247705,820,140
168,CUST4769,ACC57516,Current,Payment,Personal Loan,Firm E,South,Manager 3,26-05-2023,54309.34491,-1308.418354,1.079203843,760,81
162,CUST3041,ACC29396,Current,Transfer,Personal Loan,Firm C,South,Manager 2,3/3/2023,47172.59396,71658.56392,0.470199658,327,34
130,CUST1609,ACC32212,Current,Payment,Mutual Fund,Firm D,South,Manager 2,26-04-2023,33715.75669,69700.83893,0.406684893,824,24
91,CUST8266,ACC28612,Savings,Payment,Mutual Fund,Firm D,North,Manager 1,30-04-2023,21116.34879,164902.9397,0.913824023,531,90
4,CUST1555,ACC42710,Current,Deposit,Credit Card,Firm C,West,Manager 4,30-04-2023,116115.919,100093.1745,0.6573787,347,145
9,CUST8318,ACC51009,Credit,Withdrawal,Credit Card,Firm E,West,Manager 4,28-01-2023,53348.15016,54215.6022,0.363093564,489,41
95,CUST8874,ACC77773,Credit,Payment,Personal Loan,Firm D,South,Manager 1,26-09-2023,75176.25277,57862.97652,0.334544282,676,221
31,CUST8288,ACC55331,Loan,Transfer,Personal Loan,Firm B,South,Manager 2,26-04-2023,38439.32578,112434.7074,0.252634157,648,206
67,CUST6525,ACC87602,Loan,Deposit,Home Loan,Firm C,Central,Manager 2,25-07-2023,42861.34782,102611.7793,0.728510341,321,26
165,CUST3306,ACC62809,Savings,Payment,Credit Card,Firm D,South,Manager 2,6/11/2023,117770.1344,71143.47285,0.78981892,383,60
89,CUST7855,ACC45907,Credit,Deposit,Mutual Fund,Firm E,South,Manager 3,18-03-2023,104226.6787,12678.53326,0.497440042,316,98
106,CUST1547,ACC10996,Credit,Deposit,Personal Loan,Firm C,North,Manager 4,19-10-2023,92323.65567,39827.55468,0.672590936,768,198
127,CUST7994,ACC26026,Current,Withdrawal,Mutual Fund,Firm B,North,Manager 1,30-07-2023,59303.82919,98568.64569,0.90714079,835,52
122,CUST8344,ACC99117,Credit,Withdrawal,Home Loan,Firm B,East,Manager 4,29-01-2024,129471.4656,73117.8556,0.186813373,820,210
109,CUST7345,ACC26956,Credit,Payment,Personal Loan,Firm C,South,Manager 2,8/3/2023,50037.16683,94209.7697,0.166093763,774,165
191,CUST4241,ACC34821,Loan,Payment,Mutual Fund,Firm C,East,Manager 3,9/12/2023,63383.59989,73003.34353,0.284069487,396,38
84,CUST6330,ACC23985,Savings,Transfer,Credit Card,Firm A,North,Manager 1,6/1/2023,46701.83205,114126.2892,0.235466658,323,20
137,CUST6937,ACC11285,Current,Withdrawal,Mutual Fund,Firm A,West,Manager 2,24-10-2023,35033.2976,50709.7602,0.543214679,810,89
142,CUST8765,ACC76549,Savings,Payment,Personal Loan,Firm D,South,Manager 2,29-11-2023,5648.588558,74331.02805,0.010569698,670,194
41,CUST9535,ACC50817,Savings,Deposit,Mutual Fund,Firm A,East,Manager 4,22-10-2023,29747.40747,-13812.69306,0.199033775,624,167
89,CUST1888,ACC45951,Credit,Transfer,Home Loan,Firm A,East,Manager 1,4/5/2024,48085.29063,71615.9107,0.510671487,468,40
31,CUST8091,ACC15671,Loan,Deposit,Personal Loan,Firm C,West,Manager 3,26-02-2023,46920.9745,3205.454111,0.568047048,641,14
45,CUST6319,ACC11062,Current,Payment,Home Loan,Firm E,North,Manager 1,8/1/2024,65201.42294,17087.28183,0.253218452,340,222
159,CUST6776,ACC46655,Credit,Transfer,Credit Card,Firm E,Central,Manager 4,15-01-2023,41478.99056,70306.01856,0.272846523,542,156
78,CUST1467,ACC42710,Credit,Transfer,Savings Account,Firm C,Central,Manager 1,5/3/2024,100163.1302,75255.02898,0.368319597,698,114
23,CUST4855,ACC50439,Credit,Payment,Personal Loan,Firm A,North,Manager 3,5/3/2024,75344.75598,35235.40702,0.650672209,661,33
184,CUST8155,ACC30852,Savings,Deposit,Credit Card,Firm E,North,Manager 3,24-05-2023,82504.4347,104936.4518,0.464685489,403,232
161,CUST4373,ACC41829,Current,Payment,Savings Account,Firm A,North,Manager 3,22-03-2024,135972.3439,42302.00951,-0.368537163,469,175
159,CUST6776,ACC77592,Credit,Withdrawal,Personal Loan,Firm A,North,Manager 2,9/1/2023,97036.39944,55451.3236,0.548079444,382,101
69,CUST6082,ACC26973,Current,Withdrawal,Credit Card,Firm B,East,Manager 2,24-09-2023,77372.11748,68437.86336,0.547992311,707,111
165,CUST2842,ACC70741,Current,Withdrawal,Personal Loan,Firm A,South,Manager 2,4/5/2024,59910.92302,90542.70921,0.521455757,828,150
179,CUST6776,ACC54589,Current,Deposit,Personal Loan,Firm C,East,Manager 1,21-03-2024,52990.55976,20578.04633,0.401065473,320,159
178,CUST9248,ACC82926,Credit,Withdrawal,Home Loan,Firm C,North,Manager 2,8/6/2024,93384.52157,60905.64718,0.655624974,562,54
116,CUST9564,ACC30852,Loan,Deposit,Savings Account,Firm A,South,Manager 2,21-02-2023,57014.91451,88662.44666,0.462992402,474,131
55,CUST3378,ACC57597,Current,Deposit,Home Loan,Firm C,South,Manager 3,3/4/2023,52144.2015,54847.98943,0.483146813,553,68
33,CUST5894,ACC49140,Loan,Withdrawal,Personal Loan,Firm A,West,Manager 4,26-04-2023,-8237.127409,91607.388,0.553221474,494,187
71,CUST8279,ACC45907,Savings,Withdrawal,Savings Account,Firm D,North,Manager 4,26-05-2023,125896.5173,26843.02225,0.188483617,515,206
23,CUST2527,ACC60432,Current,Payment,Home Loan,Firm D,South,Manager 2,23-10-2023,66265.30612,60392.78525,0.171359471,795,190
24,CUST4884,ACC74631,Current,Payment,Mutual Fund,Firm E,Central,Manager 3,10/3/2023,32754.20789,98560.81856,0.381745169,775,177
44,CUST3725,ACC10996,Credit,Transfer,Savings Account,Firm D,South,Manager 4,6/11/2023,-9775.982714,105586.1481,0.183834099,383,172
119,CUST7255,ACC80442,Loan,Payment,Home Loan,Firm A,North,Manager 3,26-03-2023,92556.16048,79366.32089,0.561191127,332,113
30,CUST2527,ACC41829,Savings,Payment,Home Loan,Firm A,East,Manager 2,20-04-2024,51173.33583,86327.3184,0.892030739,358,167
30,CUST4402,ACC28154,Savings,Transfer,Credit Card,Firm D,North,Manager 1,19-04-2023,46269.48058,33342.87007,0.371502524,492,102
145,CUST2541,ACC15671,Loan,Deposit,Mutual Fund,Firm C,West,Manager 1,22-03-2024,59298.83404,64054.64105,0.601746119,538,63
30,CUST1840,ACC88516,Loan,Transfer,Mutual Fund,Firm D,East,Manager 4,6/6/2023,38656.20688,79656.42155,0.271103693,326,235
113,CUST6028,ACC49774,Credit,Withdrawal,Home Loan,Firm A,North,Manager 4,18-11-2023,22161.01926,-584.724017,0.48620765,697,159
173,CUST4003,ACC20297,Current,Payment,Mutual Fund,Firm D,North,Manager 4,3/5/2023,54630.55737,86312.30908,0.350544246,755,20
46,CUST9525,ACC82298,Current,Transfer,Home Loan,Firm C,South,Manager 4,6/1/2023,12602.72841,14886.62892,0.417884918,628,103
36,CUST3041,ACC39500,Credit,Withdrawal,Personal Loan,Firm C,West,Manager 2,17-04-2023,66233.96119,53552.9084,0.260782239,619,45
189,CUST7120,ACC18177,Loan,Payment,Mutual Fund,Firm B,Central,Manager 1,22-06-2024,47390.87113,166805.9577,0.810726818,848,208
50,CUST3131,ACC64785,Loan,Transfer,Savings Account,Firm C,East,Manager 2,1/3/2024,60193.6865,73045.43946,0.32322572,423,156
43,CUST4241,ACC61926,Credit,Payment,Mutual Fund,Firm D,East,Manager 2,10/8/2023,10393.20979,32594.70886,0.528314023,501,101
160,CUST1467,ACC32627,Loan,Transfer,Credit Card,Firm E,East,Manager 1,17-12-2023,64712.61948,44876.32373,0.645219774,638,30
37,CUST9683,ACC48303,Savings,Payment,Personal Loan,Firm B,North,Manager 4,18-08-2023,30511.51892,72026.44832,0.422349072,770,84
75,CUST3778,ACC88252,Current,Withdrawal,Home Loan,Firm C,Central,Manager 3,20-11-2023,18936.48795,68246.80257,0.525506221,826,27
22,CUST4584,ACC13357,Current,Transfer,Savings Account,Firm C,South,Manager 4,28-05-2024,64353.07817,17364.03238,0.52127248,762,194
50,CUST7395,ACC99409,Loan,Withdrawal,Home Loan,Firm A,West,Manager 4,10/12/2023,97158.08018,54295.87766,0.468137191,720,135
105,CUST9962,ACC62809,Loan,Withdrawal,Personal Loan,Firm C,East,Manager 3,19-11-2023,67517.21554,119550.5252,0.526807593,756,200
34,CUST5255,ACC96868,Credit,Deposit,Home Loan,Firm E,South,Manager 2,8/2/2024,72497.70211,64128.7373,0.725602114,385,236
116,CUST5916,ACC74631,Current,Deposit,Home Loan,Firm A,East,Manager 1,19-06-2023,49069.92382,92114.36405,0.565596204,601,89
56,CUST9439,ACC50817,Credit,Transfer,Home Loan,Firm C,West,Manager 2,22-06-2024,30400.20799,72838.62332,0.493168877,787,126
163,CUST3059,ACC88252,Credit,Payment,Savings Account,Firm A,North,Manager 4,22-05-2024,57923.75554,98172.70418,0.420645032,738,98
69,CUST2541,ACC45101,Savings,Withdrawal,Credit Card,Firm C,West,Manager 2,4/1/2024,22022.26788,87234.84753,0.936672212,553,162
62,CUST8344,ACC17688,Loan,Deposit,Mutual Fund,Firm D,South,Manager 3,10/6/2023,48549.00297,45089.22392,0.461248746,442,229
94,CUST8461,ACC92360,Savings,Payment,Savings Account,Firm A,North,Manager 2,6/2/2024,51582.26932,69571.17732,0.448731974,357,27
168,CUST1121,ACC12182,Current,Deposit,Credit Card,Firm A,West,Manager 1,15-04-2024,45259.06655,86453.58213,0.401561383,345,38
62,CUST4884,ACC32627,Savings,Withdrawal,Home Loan,Firm D,East,Manager 3,1/3/2024,29331.76807,93366.88077,0.319249012,660,146
173,CUST2578,ACC18140,Loan,Withdrawal,Savings Account,Firm B,Central,Manager 4,21-02-2024,78556.73753,76893.79752,0.693348789,406,105
135,CUST7994,ACC45101,Current,Transfer,Credit Card,Firm B,North,Manager 1,26-02-2023,65211.86397,95072.67288,0.310494886,689,185
143,CUST9666,ACC24070,Current,Transfer,Savings Account,Firm D,Central,Manager 3,13-06-2024,91977.43158,52343.1301,0.50977048,373,114
167,CUST7933,ACC51593,Credit,Payment,Personal Loan,Firm C,North,Manager 2,5/5/2023,31585.26421,49835.42876,0.343451627,509,191
96,CUST7002,ACC83005,Savings,Withdrawal,Home Loan,Firm E,West,Manager 4,10/2/2023,24692.30106,44428.71464,0.231199698,510,74
31,CUST5253,ACC26956,Savings,Transfer,Credit Card,Firm E,East,Manager 2,1/3/2024,26420.71866,81326.12702,0.98159872,419,67
132,CUST9962,ACC40952,Current,Withdrawal,Credit Card,Firm E,East,Manager 1,6/10/2023,114922.6432,78680.76419,0.965733029,433,107
60,CUST6735,ACC80131,Loan,Deposit,Credit Card,Firm C,East,Manager 3,17-07-2023,18774.68702,50188.46766,0.565489763,567,234
40,CUST8155,ACC99549,Credit,Payment,Personal Loan,Firm A,East,Manager 1,3/4/2023,103449.411,113021.9899,0.085542604,380,190
114,CUST4584,ACC48303,Current,Withdrawal,Home Loan,Firm C,Central,Manager 3,19-03-2024,37823.34981,49697.99468,0.641513459,651,96
185,CUST3069,ACC78589,Savings,Payment,Savings Account,Firm C,East,Manager 1,15-04-2024,95021.14474,17426.27737,0.809935121,318,182
66,CUST2357,ACC97225,Credit,Deposit,Mutual Fund,Firm A,East,Manager 3,4/2/2023,81537.99377,85952.52203,1.145643129,578,124
91,CUST4780,ACC58667,Loan,Transfer,Savings Account,Firm A,North,Manager 3,17-02-2024,36722.43362,27373.4566,0.63935687,386,85
125,CUST5320,ACC90887,Current,Transfer,Savings Account,Firm B,North,Manager 2,10/8/2023,62504.65027,94039.59933,0.397196045,676,162
40,CUST7459,ACC43771,Savings,Withdrawal,Savings Account,Firm B,West,Manager 3,6/7/2023,12420.70386,56514.87754,0.236172546,677,64
98,CUST2412,ACC95774,Credit,Transfer,Mutual Fund,Firm E,Central,Manager 1,5/3/2024,85882.46281,40388.31134,0.300601768,363,60
163,CUST2805,ACC29477,Savings,Withdrawal,Personal Loan,Firm C,East,Manager 4,26-02-2023,52928.88948,74618.33938,0.238898627,540,221
108,CUST9962,ACC86784,Loan,Transfer,Credit Card,Firm E,South,Manager 4,11/8/2023,29791.33828,78507.82889,0.948452372,799,205
23,CUST4438,ACC29646,Savings,Withdrawal,Credit Card,Firm C,North,Manager 2,29-11-2023,69030.20698,38157.28831,0.559867144,431,71
146,CUST7933,ACC26973,Credit,Transfer,Home Loan,Firm B,North,Manager 3,28-03-2024,71028.57254,125862.8586,0.244963802,381,128
71,CUST8772,ACC30852,Credit,Withdrawal,Mutual Fund,Firm D,East,Manager 3,4/8/2023,29058.64549,96421.66555,0.319394033,483,29
72,CUST5894,ACC86784,Current,Withdrawal,Home Loan,Firm B,South,Manager 1,15-01-2023,83986.25706,18180.03317,0.923095583,722,80
58,CUST7459,ACC94242,Credit,Payment,Credit Card,Firm C,East,Manager 3,4/8/2023,30480.80687,109343.1124,0.609505917,630,22
